E.I.N.,DATE,TYPE,Casino,Administrator,Excused,Severity,Doc VS Infraction
Employee 143,2/7/2020,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 143,3/10/2020,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 217,8/22/2019,Late Return from Break,Location 1,Supervisor 28,,Minor,Infraction
Employee 217,8/30/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 217,10/17/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 217,11/2/2019,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 217,12/10/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 217,12/11/2019,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 217,12/17/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,10/11/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,12/8/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 283,12/27/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,1/5/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,1/10/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,1/28/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 283,2/6/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,2/23/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 283,2/28/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 283,3/7/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,8/22/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,8/26/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,11/1/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,12/3/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 302,12/5/2019,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 302,12/17/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 302,12/30/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,1/1/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 302,1/2/2020,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 302,1/15/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,1/17/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,1/21/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 302,1/31/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 306,1/26/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 338,9/28/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 338,9/29/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 338,2/10/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,8/23/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,8/24/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,8/25/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,8/26/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,10/28/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,10/29/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 340,11/16/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 340,11/19/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 340,12/5/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 340,12/21/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 340,3/3/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 363,8/30/2019,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 363,9/11/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 363,11/19/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 363,12/21/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 363,1/24/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 363,3/7/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,9/29/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,10/9/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,10/28/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,11/2/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,11/13/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,11/20/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,11/27/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,12/4/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,12/7/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,12/8/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,12/11/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,12/23/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,1/8/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,1/16/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,1/30/2020,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 413,2/2/2020,Holiday Absence,Location 1,Supervisor 28,,Major,Infraction
Employee 413,3/4/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 413,3/15/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,8/11/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,9/2/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,9/6/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,9/13/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,9/26/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,10/2/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,10/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,10/28/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,10/29/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,10/31/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,12/9/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,12/13/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,1/5/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,1/31/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,2/15/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 419,2/23/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 419,3/6/2020,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 441,8/31/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 441,10/19/2019,Late Return from Break,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 441,10/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 441,12/14/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 441,12/15/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 441,2/9/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 441,2/17/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 442,8/14/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,9/1/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,9/11/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 442,10/8/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,10/17/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,10/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 442,10/28/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 442,11/11/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,11/30/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,12/1/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,12/5/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,12/17/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,1/1/2020,Holiday Absence,Location 1,Supervisor 28,,Major,Infraction
Employee 442,1/10/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,1/23/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 442,1/24/2020,NCNS,Location 1,Supervisor 28,Y,Major,Infraction
Employee 442,1/25/2020,Late Return from Break,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 442,2/4/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 442,2/13/2020,Late Return from Break,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,8/23/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,8/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,8/30/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,9/1/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,11/21/2019,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 461,12/3/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 461,12/15/2019,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 461,12/18/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 461,1/2/2020,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 461,1/16/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 461,1/25/2020,Holiday Absence,Location 1,Supervisor 28,,Major,Infraction
Employee 461,2/7/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 461,3/7/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,8/10/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 462,8/20/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,8/23/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,8/25/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 462,8/31/2019,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 462,9/2/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,9/9/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,9/13/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 462,10/26/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,12/7/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 462,12/15/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 462,12/26/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,12/29/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 462,1/5/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,2/8/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,2/13/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,2/20/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 462,2/23/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,8/16/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,8/29/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,9/2/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,9/2/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,9/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 471,11/15/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/2/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/3/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/4/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/18/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/22/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,12/28/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,1/14/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,1/15/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,1/16/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,2/11/2020,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 471,2/25/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 484,8/25/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,8/26/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,11/24/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,12/2/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 484,1/6/2020,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 484,1/28/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,2/15/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 484,2/23/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,2/28/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,2/29/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 484,3/11/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 549,10/6/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 549,10/19/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 549,11/7/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 549,12/11/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 549,12/14/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 549,12/29/2019,Late Return from Break,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 549,2/17/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 549,2/18/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 549,2/25/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,10/1/2019,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 564,10/6/2019,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 564,10/11/2019,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 564,10/27/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 564,11/14/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,12/16/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,1/7/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,1/14/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,1/16/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,2/4/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 564,2/17/2020,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 565,9/10/2019,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 565,11/2/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 565,11/10/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 565,12/1/2019,Notice Failure,Location 1,Supervisor 28,Y,Standard,Infraction
Employee 565,2/1/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 565,2/20/2020,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 565,2/29/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 565,3/14/2020,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 565,3/15/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,10/8/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,10/9/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,10/10/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,11/25/2019,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,12/24/2019,Late Return from Break,Location 1,Supervisor 28,,Minor,Infraction
Employee 608,1/17/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 685,1/18/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 685,2/11/2020,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 691,12/8/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,12/23/2019,Tardy,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,1/5/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,1/19/2020,Late Return from Break,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 741,2/4/2020,Late Return from Break,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,2/9/2020,Late Return from Break,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,2/21/2020,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 741,2/22/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 784,3/8/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 793,2/23/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 793,2/24/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 793,2/25/2020,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 793,3/9/2020,Tardy,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 798,2/20/2020,Notice Failure,Location 1,Supervisor 28,,Standard,Infraction
Employee 39,8/18/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 39,8/29/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,11/10/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,11/19/2019,Late Return from Break,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,12/1/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,12/4/2019,Early Out,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,12/11/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,12/21/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,1/19/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 74,3/5/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 91,8/16/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 91,8/20/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 91,8/26/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 91,3/10/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 102,9/10/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 102,1/8/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 102,1/24/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 102,2/13/2020,Notice Failure,Location 3,Supervisor 29,,Standard,Infraction
Employee 102,2/14/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 102,2/19/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,10/12/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,10/15/2019,Late Return from Break,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,10/16/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,10/16/2019,Late Return from Break,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,10/21/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,11/5/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,12/31/2019,Early Out,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,1/14/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 173,1/25/2020,Late Return from Break,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/11/2019,Early Out,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/12/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/13/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/16/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/18/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 253,11/30/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 290,2/13/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 290,2/17/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 290,2/19/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 299,9/24/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 299,9/27/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 299,10/22/2019,Early Out,Location 3,Supervisor 29,,Minor,Infraction
Employee 305,8/22/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 305,9/12/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 305,1/30/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 305,2/5/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 305,2/28/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,11/22/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,12/14/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,2/13/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,2/21/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,3/11/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 310,3/12/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 314,8/10/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 333,9/5/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 333,11/14/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 333,1/13/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 333,1/28/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 333,2/14/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 334,12/23/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 334,1/13/2020,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,8/24/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,8/27/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,8/31/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,11/19/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,12/2/2019,Late Return from Break,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,12/4/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,12/16/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 341,2/28/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 349,3/4/2020,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,9/10/2019,Tardy,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,9/13/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,10/30/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,10/31/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,11/17/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,12/2/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,12/3/2019,Early Out,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,12/4/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
Employee 351,12/6/2019,Absence,Location 3,Supervisor 29,,Minor,Infraction
